MedID,DrugName,GenericName,Form,Route,Manufacturer,UnitType
1,Zepbound,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,Eli Lilly and Company,mg/.5mL
2,Humulin,Insulin human,"INJECTION, SOLUTION",PARENTERAL,Eli Lilly and Company,[iU]/mL
3,Sterile Diluent,diluent,"INJECTION, SOLUTION",SUBCUTANEOUS,Eli Lilly and Company,mL/mL
4,Mounjaro,tirzepatide,"INJECTION, SOLUTION",SUBCUTANEOUS,Eli Lilly and Company,mg/.5mL
5,Amyvid,Florbetapir F 18,"INJECTION, SOLUTION",INTRAVENOUS,Eli Lilly and Company,mCi/mL
6,TAUVID,Flortaucipir F-18,"INJECTION, SOLUTION",INTRAVENOUS,Eli Lilly and Company,mCi/mL
7,Trulicity,Dulaglutide,"INJECTION, SOLUTION",SUBCUTANEOUS,Eli Lilly and Company,mg/.5mL
8,EMGALITY,galcanezumab-gnlm,"INJECTION, SOLUTION",SUBCUTANEOUS,Eli Lilly and Company,mg/mL
9,Omvoh,mirikizumab-mrkz,"INJECTION, SOLUTION",SUBCUTANEOUS,Eli Lilly and Company,mg/mL
10,TALTZ,ixekizumab,"INJECTION, SOLUTION",SUBCUTANEOUS,Eli Lilly and Company,mg/mL
11,Inluriyo,imlunestrant,"TABLET, FILM COATED",ORAL,Eli Lilly and Company,mg/1
12,RETEVMO,selpercatinib,CAPSULE,ORAL,Eli Lilly and Company,mg/1
13,Strattera,Atomoxetine hydrochloride,CAPSULE,ORAL,Eli Lilly and Company,mg/1
14,Cymbalta,Duloxetine hydrochloride,"CAPSULE, DELAYED RELEASE",ORAL,Eli Lilly and Company,mg/1
15,Zyprexa,Olanzapine,TABLET,ORAL,Eli Lilly and Company,mg/1
16,Olumiant,baricitinib,"TABLET, FILM COATED",ORAL,Eli Lilly and Company,mg/1
17,Evista,Raloxifene hydrochloride,TABLET,ORAL,Eli Lilly and Company,mg/1
18,Reyvow,lasmiditan,TABLET,ORAL,Eli Lilly and Company,mg/1
19,Cialis,Tadalafil,"TABLET, FILM COATED",ORAL,Eli Lilly and Company,mg/1
20,Verzenio,abemaciclib,TABLET,ORAL,Eli Lilly and Company,mg/1
21,Baricitinib,baricitinib,"TABLET, FILM COATED",ORAL,Eli Lilly and Company,mg/1
22,JAYPIRCA,pirtobrutinib,"TABLET, COATED",ORAL,Eli Lilly and Company,mg/1
23,Humalog,Insulin lispro,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,Eli Lilly and Company,[iU]/mL
24,Alimta,Pemetrexed disodium,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,Eli Lilly and Company,mg/20mL
25,CYRAMZA,ramucirumab,SOLUTION,INTRAVENOUS,Eli Lilly and Company,mg/mL
26,BASAGLAR,Insulin glargine,"INJECTION, SOLUTION",SUBCUTANEOUS,Eli Lilly and Company,[iU]/mL
27,Portrazza,necitumumab,SOLUTION,INTRAVENOUS,Eli Lilly and Company,mg/mL
28,LYUMJEV,Insulin lispro-aabc,"INJECTION, SOLUTION",SUBCUTANEOUS,Eli Lilly and Company,[iU]/mL
29,Insulin Lispro,Insulin lispro,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,Eli Lilly and Company,[iU]/mL
30,EBGLYSS,lebrikizumab-lbkz,"INJECTION, SOLUTION",SUBCUTANEOUS,Eli Lilly and Company,mg/2mL
31,HUMATROPE,Somatropin,KIT,INTRAMUSCULAR; SUBCUTANEOUS,Eli Lilly and Company,
32,Insulin Lispro Protamine and Insulin Lispro Injectable Suspension,Insulin lispro,"INJECTION, SUSPENSION",SUBCUTANEOUS,Eli Lilly and Company,[iU]/mL
33,Forteo,Teriparatide,"INJECTION, SOLUTION",SUBCUTANEOUS,Eli Lilly and Company,ug/mL
34,Rezvoglar,Insulin glargine-aglr,"INJECTION, SOLUTION",SUBCUTANEOUS,Eli Lilly and Company,[iU]/mL
35,Kisunla,donanemab-azbt,"INJECTION, SOLUTION",INTRAVENOUS,Eli Lilly and Company,mg/mL
36,Cobenfy,xanomeline and trospium chloride,"CAPSULE, COATED PELLETS",ORAL,"E.R. Squibb & Sons, L.L.C.",mg/1; mg/1
37,HALOG,Halcinonide,SOLUTION,TOPICAL,"E.R. Squibb & Sons, L.L.C.",mg/mL
38,KENALOG-40,TRIAMCINOLONE ACETONIDE,"INJECTION, SUSPENSION",INTRA-ARTICULAR; INTRAMUSCULAR,"E.R. Squibb & Sons, L.L.C.",mg/mL
