PharmacyID,Name,Address,Phone
1,Martin Rx,"908 Newton Mission Apt. 114, Frankbury",052-235-9013
2,Downs Rx,"191 Stephanie Forges Suite 695, Evanmouth",777-050-2546
3,Sims Care,"44911 Eugene Lodge Suite 817, South Laura",888-197-5674
4,Torres Pharmacy,"7648 Jesse Overpass, Lake Ericafort",840-268-0103
5,Arroyo Clinic Pharmacy,"789 Alexander Turnpike, Hendricksmouth",928-449-3224
6,Wade Pharmacy,"2717 Jacob Flats Suite 028, South Johnhaven",932-124-3328
7,Chambers Clinic Pharmacy,"6123 Mason Mount Apt. 800, Smithtown",709-868-1654
8,Walker Rx,"0096 Scott Turnpike Apt. 557, West Matthew",043-201-2156
9,Harvey Health,"5156 Scott Oval Apt. 253, East Kerriview",140-925-9369
10,Grimes Health,"379 Middleton Plaza, Murillomouth",212-547-8803
11,Ballard Pharmacy,"1256 Anderson Plains Suite 050, Matthewshire",122-781-7375
12,Lane Rx,"43381 Joseph Brook, Nguyenhaven",909-363-8097
13,Nelson Pharmacy,"0057 Michael Landing, Garciaport",831-845-9721
14,Roberts Clinic Pharmacy,"26538 Mark Bridge, South Ashleyshire",985-950-6514
15,Madden Health,"123 Young Cape Suite 710, Brettstad",174-840-2068
16,Duncan Rx,"65857 Mccarty Mills Suite 134, Ashleyville",538-896-9435
17,Lee Care,"84439 Gregory Mountains Apt. 609, Simsstad",520-212-8827
18,Santos Clinic Pharmacy,"535 Allen View Suite 941, Hudsonport",656-797-2031
19,Fuentes Care,"46132 Bauer Point, East David",064-569-1664
20,Dennis Rx,"43613 William Expressway, Tylerfurt",595-641-1329
